Strike,Expiry,Type,Symbol,Last,Bid,Ask,Chg,PctChg,Vol,Open_Int,IV,Root,IsNonstandard,Underlying,Underlying_Price,Quote_Time,Last_Trade_Date,JSON
2.5,2018-02-16,call,AAPL180216C00002500,170.91,172.2,172.85,0.0,0.0,1.0,1.0,1.0000000000000003e-05,AAPL,False,AAPL,178.46,2018-01-19 21:00:00,2018-01-06 04:49:47,"{'contractSymbol': 'AAPL180216C00002500', 'strike': 2.5, 'currency': 'USD', 'lastPrice': 170.91, 'change': 0.0, 'percentChange': 0.0, 'volume': 1, 'openInterest': 1, 'bid': 172.2, 'ask': 172.85, 'contractSize': 'REGULAR', 'expiration': 1518739200, 'lastTradeDate': 1515214187, 'impliedVolatility': 1.0000000000000003e-05, 'inTheMoney': True}"
2.5,2018-02-16,put,AAPL180216P00002500,0.02,0.0,0.02,0.0,0.0,3.0,0.0,5.250003437499999,AAPL,False,AAPL,178.46,2018-01-19 21:00:00,2018-01-20 04:44:39,"{'contractSymbol': 'AAPL180216P00002500', 'strike': 2.5, 'currency': 'USD', 'lastPrice': 0.02, 'change': 0.0, 'percentChange': 0.0, 'volume': 3, 'openInterest': 0, 'bid': 0.0, 'ask': 0.02, 'contractSize': 'REGULAR', 'expiration': 1518739200, 'lastTradeDate': 1516423479, 'impliedVolatility': 5.250003437499999, 'inTheMoney': False}"
2.5,2018-04-20,call,AAPL180420C00002500,170.95,166.5,167.5,-1.0,-0.5815644,5.0,5.0,1.0000000000000003e-05,AAPL,False,AAPL,178.46,2018-01-19 21:00:00,2017-11-28 16:24:01,"{'contractSymbol': 'AAPL180420C00002500', 'strike': 2.5, 'currency': 'USD', 'lastPrice': 170.95, 'change': -1.0, 'percentChange': -0.5815644, 'volume': 5, 'openInterest': 5, 'bid': 166.5, 'ask': 167.5, 'contractSize': 'REGULAR', 'expiration': 1524182400, 'lastTradeDate': 1511886241, 'impliedVolatility': 1.0000000000000003e-05, 'inTheMoney': True}"
2.5,2018-04-20,put,AAPL180420P00002500,0.01,0.0,0.01,0.0,0.0,1.0,1.0,2.750003125,AAPL,False,AAPL,178.46,2018-01-19 21:00:00,2017-09-23 03:55:28,"{'contractSymbol': 'AAPL180420P00002500', 'strike': 2.5, 'currency': 'USD', 'lastPrice': 0.01, 'change': 0.0, 'percentChange': 0.0, 'volume': 1, 'openInterest': 1, 'bid': 0.0, 'ask': 0.01, 'contractSize': 'REGULAR', 'expiration': 1524182400, 'lastTradeDate': 1506138928, 'impliedVolatility': 2.750003125, 'inTheMoney': False}"
5.0,2018-04-20,call,AAPL180420C00005000,168.25,164.0,164.95,-1.1000061,-0.64954597,5.0,5.0,1.0000000000000003e-05,AAPL,False,AAPL,178.46,2018-01-19 21:00:00,2017-11-28 16:24:01,"{'contractSymbol': 'AAPL180420C00005000', 'strike': 5.0, 'currency': 'USD', 'lastPrice': 168.25, 'change': -1.1000061, 'percentChange': -0.64954597, 'volume': 5, 'openInterest': 5, 'bid': 164.0, 'ask': 164.95, 'contractSize': 'REGULAR', 'expiration': 1524182400, 'lastTradeDate': 1511886241, 'impliedVolatility': 1.0000000000000003e-05, 'inTheMoney': True}"
7.5,2018-02-16,call,AAPL180216C00007500,165.92,167.2,167.85,0.0,0.0,1.0,1.0,1.0000000000000003e-05,AAPL,False,AAPL,178.46,2018-01-19 21:00:00,2018-01-06 04:49:52,"{'contractSymbol': 'AAPL180216C00007500', 'strike': 7.5, 'currency': 'USD', 'lastPrice': 165.92, 'change': 0.0, 'percentChange': 0.0, 'volume': 1, 'openInterest': 1, 'bid': 167.2, 'ask': 167.85, 'contractSize': 'REGULAR', 'expiration': 1518739200, 'lastTradeDate': 1515214192, 'impliedVolatility': 1.0000000000000003e-05, 'inTheMoney': True}"
22.5,2018-04-20,call,AAPL180420C00022500,149.45,145.55,149.45,0.0,0.0,5.0,5.0,1.0000000000000003e-05,AAPL,False,AAPL,178.46,2018-01-19 21:00:00,2017-11-18 04:48:55,"{'contractSymbol': 'AAPL180420C00022500', 'strike': 22.5, 'currency': 'USD', 'lastPrice': 149.45, 'change': 0.0, 'percentChange': 0.0, 'volume': 5, 'openInterest': 5, 'bid': 145.55, 'ask': 149.45, 'contractSize': 'REGULAR', 'expiration': 1524182400, 'lastTradeDate': 1510980535, 'impliedVolatility': 1.0000000000000003e-05, 'inTheMoney': True}"
40.0,2018-04-20,call,AAPL180420C00040000,135.39,134.45,135.3,0.0,0.0,144.0,0.0,1.0000000000000003e-05,AAPL,False,AAPL,178.46,2018-01-19 21:00:00,2017-11-11 04:45:06,"{'contractSymbol': 'AAPL180420C00040000', 'strike': 40.0, 'currency': 'USD', 'lastPrice': 135.39, 'change': 0.0, 'percentChange': 0.0, 'volume': 144, 'openInterest': 0, 'bid': 134.45, 'ask': 135.3, 'contractSize': 'REGULAR', 'expiration': 1524182400, 'lastTradeDate': 1510375506, 'impliedVolatility': 1.0000000000000003e-05, 'inTheMoney': True}"
42.5,2019-01-18,call,AAPL190118C00042500,135.83,135.75,136.3,-0.41999817,-0.30825552,38.0,470.0,0.5468795312500001,AAPL,False,AAPL,178.46,2018-01-19 21:00:00,2018-01-19 20:52:13,"{'contractSymbol': 'AAPL190118C00042500', 'strike': 42.5, 'currency': 'USD', 'lastPrice': 135.83, 'change': -0.41999817, 'percentChange': -0.30825552, 'volume': 38, 'openInterest': 470, 'bid': 135.75, 'ask': 136.3, 'contractSize': 'REGULAR', 'expiration': 1547769600, 'lastTradeDate': 1516395133, 'impliedVolatility': 0.5468795312500001, 'inTheMoney': True}"
42.5,2019-01-18,put,AAPL190118P00042500,0.01,0.0,0.05,0.0,0.0,15.0,3043.0,0.500005,AAPL,False,AAPL,178.46,2018-01-19 21:00:00,2018-01-10 19:06:22,"{'contractSymbol': 'AAPL190118P00042500', 'strike': 42.5, 'currency': 'USD', 'lastPrice': 0.01, 'change': 0.0, 'percentChange': 0.0, 'volume': 15, 'openInterest': 3043, 'bid': 0.0, 'ask': 0.05, 'contractSize': 'REGULAR', 'expiration': 1547769600, 'lastTradeDate': 1515611182, 'impliedVolatility': 0.500005, 'inTheMoney': False}"
